,Season,Team,Lg,Salary,Player_ID
0,2091,Portland Trail Blazers,NBA,"$395,000 ",abdelal01
1,2092,Portland Trail Blazers,NBA,"$494,000 ",abdelal01
2,2093,Boston Celtics,NBA,"$500,000 ",abdelal01
3,2094,Boston Celtics,NBA,"$805,000 ",abdelal01
4,2095,Sacramento Kings,NBA,"$650,000 ",abdelal01
5,2085,Los Angeles Lakers,NBA,"$1,530,000 ",abdulka01
6,2086,Los Angeles Lakers,NBA,"$2,030,000 ",abdulka01
7,2088,Los Angeles Lakers,NBA,"$2,000,000 ",abdulka01
8,2089,Los Angeles Lakers,NBA,"$3,000,000 ",abdulka01
9,2091,Denver Nuggets,NBA,"$1,660,000 ",abdulma02
10,2092,Denver Nuggets,NBA,"$2,008,000 ",abdulma02
11,2093,Denver Nuggets,NBA,"$2,358,000 ",abdulma02
12,2094,Denver Nuggets,NBA,"$1,825,000 ",abdulma02
13,2095,Denver Nuggets,NBA,"$2,200,000 ",abdulma02
14,2096,Denver Nuggets,NBA,"$2,600,000 ",abdulma02
15,2097,Sacramento Kings,NBA,"$3,100,000 ",abdulma02
16,2098,Sacramento Kings,NBA,"$3,300,000 ",abdulma02
17,2001,Vancouver Grizzlies,NBA,"$798,500 ",abdulma02
18,2098,Sacramento Kings,NBA,"$1,226,880 ",abdulta01
19,2099,Sacramento Kings,NBA,"$1,411,000 ",abdulta01
20,2000,Denver Nuggets,NBA,"$1,594,920 ",abdulta01
21,2001,Denver Nuggets,NBA,"$4,500,000 ",abdulta01
22,2002,Denver Nuggets,NBA,"$5,062,500 ",abdulta01
23,2003,Dallas Mavericks,NBA,"$5,625,000 ",abdulta01
24,2004,Dallas Mavericks,NBA,"$6,187,500 ",abdulta01
25,2005,Dallas Mavericks,NBA,"$6,750,000 ",abdulta01
26,2006,Dallas Mavericks,NBA,"$3,656,250 ",abdulta01
27,2007,Dallas Mavericks,NBA,"$1,968,750 ",abdulta01
28,2097,Vancouver Grizzlies,NBA,"$2,186,000 ",abdursh01
29,2000,Vancouver Grizzlies,NBA,"$9,000,000 ",abdursh01
30,2001,Vancouver Grizzlies,NBA,"$10,130,000 ",abdursh01
31,2002,Atlanta Hawks,NBA,"$11,250,000 ",abdursh01
32,2003,Atlanta Hawks,NBA,"$12,375,000 ",abdursh01
33,2004,Atlanta Hawks,NBA,"$13,500,000 ",abdursh01
34,2005,Portland Trail Blazers,NBA,"$14,625,000 ",abdursh01
35,2006,Sacramento Kings,NBA,"$5,000,000 ",abdursh01
36,2007,Sacramento Kings,NBA,"$5,400,000 ",abdursh01
